Freq (Hz),Enable,Notes,Channel,Ch BW (Hz),TH (dB),Sq (dB)
443725000,1,MTEARS HUB Nolensville - CTCSS 107.2,0,12500,-50,-60
441925000,1,MTEARS 01 Oak Ridge - CTCSS 100.0,0,12500,-50,-60
442700000,1,MTEARS 02 Deason (standalone, link down) - CTCSS 100.0,0,12500,-50,-60
443900000,1,MTEARS 05 Maryville - CTCSS 100.0,0,12500,-50,-60
442025000,1,MTEARS 06 Cleveland - CTCSS 100.0,0,12500,-50,-60
444650000,1,MTEARS 08 Short Mountain - CTCSS 107.2,0,12500,-50,-60
443950000,1,MTEARS 16 Manchester - CTCSS 107.2,0,12500,-50,-60
443875000,1,MTEARS 18 Crossville - CTCSS 88.5,0,12500,-50,-60
443850000,1,MTEARS 18b Fairfield Glade - CTCSS 100.0,0,12500,-50,-60
442800000,1,MTEARS 19 Nashville - CTCSS 107.2,0,12500,-50,-60
443975000,1,MTEARS 19b Pasquo (link down) - CTCSS 107.2,0,12500,-50,-60
443550000,1,MTEARS 28 Pulaski - CTCSS 100.0,0,12500,-50,-60
444725000,1,MTEARS 29 Clinch Mountain - CTCSS 156.7,0,12500,-50,-60
443825000,1,MTEARS 30 Greeneville - CTCSS 100.0,0,12500,-50,-60
443125000,1,MTEARS 33 Signal Mountain - CTCSS 103.5,0,12500,-50,-60
443375000,1,MTEARS 43 McEwen - CTCSS 114.8,0,12500,-50,-60
443725000,1,MTEARS 45 Jefferson - CTCSS 100.0,0,12500,-50,-60
442500000,1,MTEARS 47 Knoxville - CTCSS 100.0,0,12500,-50,-60
444500000,1,MTEARS 47b West Knoxville - CTCSS 100.0,0,12500,-50,-60
443725000,1,MTEARS 47c Northeast Knoxville - CTCSS 100.0,0,12500,-50,-60
443400000,1,MTEARS 50 Lawrenceburg - CTCSS 100.0,0,12500,-50,-60
444850000,1,MTEARS 51 Hohenwald (link down) - CTCSS 100.0,0,12500,-50,-60
442300000,1,MTEARS 52 Fayetteville - CTCSS 127.3,0,12500,-50,-60
444450000,1,MTEARS 57 Jackson - CTCSS 123.0,0,12500,-50,-60
442725000,1,MTEARS 60 Southport - CTCSS 100.0,0,12500,-50,-60
443175000,1,MTEARS 60b Columbia - CTCSS 100.0,0,12500,-50,-60
442575000,1,MTEARS 64 Chestnut Ridge - CTCSS 107.2,0,12500,-50,-60
442850000,1,MTEARS 68 Lobelville - CTCSS 107.2,0,12500,-50,-60
444600000,1,MTEARS 71 Cookeville - CTCSS 107.2,0,12500,-50,-60
443900000,1,MTEARS 74 Cross Plains (link down) - CTCSS 107.2,0,12500,-50,-60
444900000,1,MTEARS 78 Gatlinburg - CTCSS 100.0,0,12500,-50,-60
444000000,1,MTEARS 78b Sevierville - CTCSS 103.5,0,12500,-50,-60
444450000,1,MTEARS 83 Gallatin (link down) - CTCSS 107.2,0,12500,-50,-60
443950000,1,MTEARS 91 Wayne County - CTCSS 100.0,0,12500,-50,-60
443075000,1,MTEARS 94 Heritage - CTCSS 156.7,0,12500,-50,-60
443475000,1,MTEARS 94b Franklin - CTCSS 107.2,0,12500,-50,-60
145410000,1,TAC W4KEV Viking Mtn Greene Co (-0.6) - CTCSS 127.3,0,12500,-50,-60
147195000,1,TAC W4KEV Ski Mtn Sevier Co (+0.6) - CTCSS 100.0,0,12500,-50,-60
145370000,1,TAC W4KEV Knoxville Knox Co (-0.6) - CTCSS 100.0,0,12500,-50,-60
147345000,1,TAC W4KEV Crossville Cumberland Co (+0.6) - CTCSS 118.8,0,12500,-50,-60
144920000,1,TAC N4LMC Signal Mtn Hamilton Co (+2.5) - DCS 073,0,12500,-50,-60
145440000,1,TAC W4YI Signal Mtn Hamilton Co (-0.6) - CTCSS 94.8,0,12500,-50,-60
146955000,1,TAC N4OEM White Bridge Davidson Co (-0.6) - CTCSS 114.8,0,12500,-50,-60
146670000,1,TAC AF4TZ Brentwood Davidson Co (-0.6) - CTCSS 114.8,0,12500,-50,-60
147030000,1,TAC W4BV Lincoln Co (+0.6) - CTCSS 114.8,0,12500,-50,-60
442075000,1,TAC KK4GGK Graysville Rhea Co (+5.0) - CTCSS 110.9,0,12500,-50,-60
442100000,0,TAC WA4PTZ Marshall Co (+5.0) - WIRES-X node no CTCSS,0,12500,-50,-60
443350000,0,TAC N4VFB Bedford Co (+5.0) - WIRES-X node no CTCSS,0,12500,-50,-60
