DEC,HEX,Mode,Alpha Tag,Description,Tag
10049,2741,D,SPEV D01,Special Event 01 Nissan Stadium Admin,Multi-Tac
10050,2742,D,SPEV D02,Special Event 02 Nissan Stadium Traffic,Multi-Tac
10051,2743,D,SPEV D03,Special Event 03 Nissan Stadium Security,Multi-Tac
10052,2744,D,SPEV D04,Special Event 04 Nissan Stadium Special Ops,Multi-Tac
10053,2745,D,SPEV D05,Special Event 05 Vanderbilt University,Multi-Tac
10054,2746,D,SPEV D06,Special Event 06 TN State University,Multi-Tac
10055,2747,D,SPEV D07,Special Event 07 Bridgestone Arena,Multi-Tac
10056,2748,D,SPEV D08,Special Event 08 First Horizon Park,Multi-Tac
10057,2749,D,SPEV D09,Special Event 09 Ascend Ampitheater,Multi-Tac
10058,274a,D,SPEV D10,Special Event 10 New MLS Stadium,Multi-Tac
10059,274b,D,SPEV D11,Special Event 11,Multi-Tac
10060,274c,D,SPEV D12,Special Event 12,Multi-Tac
10061,274d,D,SPEV D13,Special Event 13,Multi-Tac
10062,274e,D,SPEV D14,Special Event 14,Multi-Tac
10063,274f,D,SPEV D15,Special Event 15,Multi-Tac
