DEC,HEX,Mode,Alpha Tag,Description,Tag
1363,553,DE,E1 BAPT,NFD Baptist Hospital,Hospital
1365,555,DE,E2 VANDY,NFD Vandy Hospital,Hospital
1367,557,DE,E3 VPED,NFD Vandy Pediatric Hospital,Hospital
1369,559,DE,E4 MEDCT,NFD Medical Control,Hospital
1371,55b,DE,E5 GENER,NFD General Hospital,Hospital
1373,55d,DE,E6 STTOM,NFD St Thomas Hospital,Hospital
1375,55f,DE,E7 CMD,NFD Centennial Medical Center,Hospital
1377,561,DE,E8 SUMMT,NFD Summit Hospital,Hospital
1379,563,DE,E9 SKYLN,NFD Sky Line Hospital,Hospital
1381,565,DE,E10 SHIL,NFD Southern Hills Hospital,Hospital
1385,569,DE,E11 VA,NFD Veterans Administration Hospital,Hospital
1387,56b,DE,E12 HOS1,NFD Hospital to Hospital 1,Hospital
1389,56d,DE,E13 HOS2,NFD Hospital to Hospital 2,Hospital
10406,28a6,DE,E14 CCH,NFD Centennial Childrens Hospital,Hospital
