DEC,HEX,Mode,Alpha Tag,Description,Tag
20100,4e84,DE,WCESTAC1,Tactical 1 (Franklin Fire),Multi-Tac
20101,4e85,DE,WCESTAC2,Tactical 2 (Franklin Fire),Multi-Tac
20102,4e86,DE,WCESTAC3,Tactical 3 (Franklin Fire),Multi-Tac
20103,4e87,DE,WCESTAC4,Tactical 4 (Franklin Fire),Multi-Tac
20104,4e88,DE,WCESTAC5,Tactical 5 (Franklin Fire),Multi-Tac
20105,4e89,DE,WCESTAC6,Tactical 6 (Brentwood Fire),Multi-Tac
20106,4e8a,DE,WCESTAC7,Tactical 7 (Brentwood Fire),Multi-Tac
20107,4e8b,DE,WCESTAC8,Tactical 8 (Brentwood Fire),Multi-Tac
20108,4e8c,DE,WCESTAC9,Tactical 9 (County FD/EMS),Multi-Tac
20109,4e8d,DE,WCESTAC10,Tactical 10 (County FD/EMS),Multi-Tac
20110,4e8e,DE,WCESTAC11,Tactical 11 (County FD/EMS),Multi-Tac
20111,4e8f,DE,WCESTAC12,Tactical 12 (County FD/EMS),Multi-Tac
20112,4e90,DE,WCESTAC13,Tactical 13,Multi-Tac
20113,4e91,DE,WCESTAC14,Tactical 14,Multi-Tac
20114,4e92,DE,WCESTAC15,Tactical 15,Multi-Tac
20115,4e93,DE,WCESTAC16,Tactical 16,Multi-Tac
