DEC,HEX,Mode,Alpha Tag,Description,Tag
20331,4f6b,D,WCSE1,Special Event 1,Multi-Tac
20332,4f6c,D,WCSE2,Special Event 2,Multi-Tac
20333,4f6d,D,WCSE3,Special Event 3,Multi-Tac
20334,4f6e,D,WCSE4,Special Event 4,Multi-Tac
20335,4f6f,D,WCSE5,Special Event 5,Multi-Tac
20336,4f70,D,WCSE6,Special Event 6,Multi-Tac
20337,4f71,D,WCSE7,Special Event 7,Multi-Tac
20338,4f72,D,WCSE8,Special Event 8,Multi-Tac
20339,4f73,D,WCSE9,Special Event 9,Multi-Tac
20548,5044,D,WCSE-ATG,Special Event Announcement,Multi-Dispatch
