Group,DEC,HEX,Mode,Alpha Tag,Description,Tag
Interoperability/Mutual Aid (Systemwide),65535,ffff,D,Systemwide,Systemwide,Multi-Tac
Interoperability/Mutual Aid (Systemwide),1033,409,D,LAW MA 01,Law Mutual Aid 1,Law Tac
Interoperability/Mutual Aid (Systemwide),1297,511,D,LAW MA 02,Law Mutual Aid 2,Law Tac
Interoperability/Mutual Aid (Systemwide),1299,513,D,LAW MA 03,Law Mutual Aid 3,Law Tac
Interoperability/Mutual Aid (Systemwide),4017,fb1,D,LAW MA 04,Law Mutual Aid 4,Law Tac
Interoperability/Mutual Aid (Systemwide),4019,fb3,D,LAW MA 05,Law Mutual Aid 5,Law Tac
Interoperability/Mutual Aid (Systemwide),4021,fb5,D,LAW MA 06,Law Mutual Aid 6,Law Tac
Interoperability/Mutual Aid (Systemwide),4055,fd7,D,LAW MA 07,Law Mutual Aid 7,Law Tac
Interoperability/Mutual Aid (Systemwide),4057,fd9,D,LAW MA 08,Law Mutual Aid 8,Law Tac
Interoperability/Mutual Aid (Systemwide),4059,fdb,D,LAW MA 09,Law Mutual Aid 9,Law Tac
Interoperability/Mutual Aid (Systemwide),4061,fdd,D,LAW MA 10,Law Mutual Aid 10,Law Tac
Interoperability/Mutual Aid (Systemwide),4063,fdf,D,LAW MA 11,Law Mutual Aid 11,Law Tac
Interoperability/Mutual Aid (Systemwide),4065,fe1,D,LAW MA 12,Law Mutual Aid 12,Law Tac
Interoperability/Mutual Aid (Systemwide),4067,fe3,D,LAW MA 13,Law Mutual Aid 13,Law Tac
Interoperability/Mutual Aid (Systemwide),4069,fe5,D,LAW MA 14,Law Mutual Aid 14,Law Tac
Interoperability/Mutual Aid (Systemwide),4071,fe7,D,LAW MA 15,Law Mutual Aid 15,Law Tac
Interoperability/Mutual Aid (Systemwide),4073,fe9,D,LAW MA 16,Law Mutual Aid 16,Law Tac
Interoperability/Mutual Aid (Systemwide),4075,feb,D,LAW MA 17,Law Mutual Aid 17,Law Tac
Interoperability/Mutual Aid (Systemwide),4077,fed,D,LAW MA 18,Law Mutual Aid 18,Law Tac
Interoperability/Mutual Aid (Systemwide),4079,fef,D,LAW MA 19,Law Mutual Aid 19,Law Tac
Interoperability/Mutual Aid (Systemwide),4081,ff1,D,LAW MA 20,Law Mutual Aid 20,Law Tac
Interoperability/Mutual Aid (Systemwide),4083,ff3,D,LAW MA 21,Law Mutual Aid 21,Law Tac
Interoperability/Mutual Aid (Systemwide),4085,ff5,D,LAW MA 22,Law Mutual Aid 22,Law Tac
Interoperability/Mutual Aid (Systemwide),4087,ff7,D,LAW MA 23,Law Mutual Aid 23,Law Tac
Interoperability/Mutual Aid (Systemwide),4089,ff9,D,LAW MA 24,Law Mutual Aid 24,Law Tac
Interoperability/Mutual Aid (Systemwide),1501,5dd,D,PSAP-1 THP D2,PSAP THP District 2 Counties [PSAP-1],Multi-Dispatch
Interoperability/Mutual Aid (Systemwide),1559,617,D,PSAP-2 THP D1,PSAP THP District 1 Counties [PSAP-2],Multi-Dispatch
Interoperability/Mutual Aid (Systemwide),47101,b7fd,D,PSAP-3 THP D5,PSAP THP District 5 Counties [PSAP-3],Multi-Dispatch
Interoperability/Mutual Aid (Systemwide),47102,b7fe,D,PSAP-4 THP D6,PSAP THP District 2 Counties [PSAP-4],Multi-Dispatch
Interoperability/Mutual Aid (Systemwide),47103,b7ff,D,PSAP-5 THP D3/7,PSAP THP Districts 3/7 Counties [PSAP-5],Multi-Dispatch
Interoperability/Mutual Aid (Systemwide),47106,b802,D,PSAP-7 THP D4/8,PSAP THP Districts 4/8 Counties [PSAP-7],Multi-Dispatch
Interoperability/Mutual Aid (Systemwide),4023,fb7,D,FF MA 01,Fire Mutual Aid 1,Fire-Tac
