Freq (Hz),Enable,Notes,Channel,Ch BW (Hz),TH (dB),Sq (dB)
121500000,true,AIR GUARD 121.5 emergency,R1:0,8000,-55.0,-55.0
118400000,true,AIR KBNA App/Dep East,R1:0,8000,-55.0,-55.0
119350000,true,AIR KBNA App/Dep West,R1:0,8000,-55.0,-55.0
118600000,true,AIR KBNA Tower,R1:0,8000,-55.0,-55.0
121900000,true,AIR KBNA Ground,R1:0,8000,-55.0,-55.0
126050000,true,AIR KBNA Clearance/PDC,R1:0,8000,-55.0,-55.0
135100000,false,AIR KBNA D-ATIS continuous tune manually,R1:0,8000,-55.0,-55.0
122950000,false,AIR KBNA UNICOM,R1:0,8000,-55.0,-55.0
132900000,false,AIR Memphis Center Nashville low verify,R1:0,8000,-55.0,-55.0
120600000,false,AIR KBNA Approach alt sector verify,R1:0,8000,-55.0,-55.0
127175000,false,AIR KBNA Approach alt sector verify,R1:0,8000,-55.0,-55.0
162550000,true,WX NOAA Nashville WX7 KXI86 primary RX-only,R1:2,16000,-55.0,-55.0
162475000,true,WX NOAA WX4 alt RX-only,R1:2,16000,-55.0,-55.0
162400000,false,WX NOAA WX1 RX-only,R1:2,16000,-55.0,-55.0
162425000,false,WX NOAA WX2 RX-only,R1:2,16000,-55.0,-55.0
162450000,false,WX NOAA WX3 RX-only,R1:2,16000,-55.0,-55.0
162500000,false,WX NOAA WX5 RX-only,R1:2,16000,-55.0,-55.0
162525000,false,WX NOAA WX6 RX-only,R1:2,16000,-55.0,-55.0
146670000,true,SKYWARN Nashville MTEARS primary AF4TZ PL114.8,R1:2,12500,-55.0,-55.0
145470000,true,SKYWARN Nashville Davidson,R1:2,12500,-55.0,-55.0
147240000,true,SKYWARN Sumner Co PL114.8,R1:2,12500,-55.0,-55.0
145210000,false,SKYWARN Watertown area,R1:2,12500,-55.0,-55.0
145230000,false,SKYWARN Smyrna Rutherford,R1:2,12500,-55.0,-55.0
147105000,false,SKYWARN Watertown Wilson,R1:2,12500,-55.0,-55.0
462550000,true,GMRS Ch15 462.550 RPT-out/simplex,R1:2,16000,-55.0,-55.0
462575000,true,GMRS Ch16 462.575 RPT-out/simplex,R1:2,16000,-55.0,-55.0
462600000,true,GMRS Ch17 462.600 RPT-out/simplex,R1:2,16000,-55.0,-55.0
462625000,true,GMRS Ch18 462.625 RPT-out/simplex,R1:2,16000,-55.0,-55.0
462650000,true,GMRS Ch19 462.650 RPT-out/simplex,R1:2,16000,-55.0,-55.0
462675000,true,GMRS Ch20 462.675 RPT-out/simplex,R1:2,16000,-55.0,-55.0
462700000,true,GMRS Ch21 462.700 RPT-out/simplex,R1:2,16000,-55.0,-55.0
462725000,true,GMRS Ch22 462.725 RPT-out/simplex,R1:2,16000,-55.0,-55.0
462562500,false,GMRS/FRS Ch1 462.5625 simplex,R1:2,12500,-55.0,-55.0
462587500,false,GMRS/FRS Ch2 462.5875 simplex,R1:2,12500,-55.0,-55.0
462612500,false,GMRS/FRS Ch3 462.6125 simplex,R1:2,12500,-55.0,-55.0
462637500,false,GMRS/FRS Ch4 462.6375 simplex,R1:2,12500,-55.0,-55.0
462662500,false,GMRS/FRS Ch5 462.6625 simplex,R1:2,12500,-55.0,-55.0
462687500,false,GMRS/FRS Ch6 462.6875 simplex,R1:2,12500,-55.0,-55.0
462712500,false,GMRS/FRS Ch7 462.7125 simplex,R1:2,12500,-55.0,-55.0
146520000,true,HAM 2m FM national simplex calling CSQ,R1:2,12500,-55.0,-55.0
146760000,true,HAM 2m Nashville WA4PCD repeater,R1:2,12500,-55.0,-55.0
146960000,true,HAM 2m Nashville N4OEM repeater PL114.8,R1:2,12500,-55.0,-55.0
147020000,true,HAM 2m Nashville AF4TZ repeater PL114.8,R1:2,12500,-55.0,-55.0
442750000,true,HAM 70cm Nashville N4OEM repeater PL100.0,R1:2,12500,-55.0,-55.0
444880000,true,HAM 70cm Nashville K4TFI repeater PL107.2,R1:2,12500,-55.0,-55.0
446000000,true,HAM 70cm FM simplex calling,R1:2,12500,-55.0,-55.0
146550000,false,HAM 2m FM simplex,R1:2,12500,-55.0,-55.0
147420000,false,HAM 2m FM simplex,R1:2,12500,-55.0,-55.0
147555000,false,HAM 2m FM simplex,R1:2,12500,-55.0,-55.0
223500000,false,HAM 1.25m FM calling,R1:2,12500,-55.0,-55.0
446025000,false,HAM 70cm FM simplex,R1:2,12500,-55.0,-55.0
442800000,false,HAM 70cm Nashville NE4MA repeater PL107.2,R1:2,12500,-55.0,-55.0
444980000,false,HAM 70cm Nashville K2GJY repeater PL107.2,R1:2,12500,-55.0,-55.0
440530000,false,HAM 70cm W4DER DIGITAL-DMR wont demod in NFM,R1:2,12500,-55.0,-55.0
443250000,false,HAM 70cm K4LRC DIGITAL-Fusion wont demod in NFM,R1:2,12500,-55.0,-55.0
