DEC,HEX,Mode,Alpha Tag,Description,Tag
65535,ffff,D,Systemwide,Systemwide,Multi-Tac
1033,409,D,LAW MA 01,Law Mutual Aid 1,Law Tac
1297,511,D,LAW MA 02,Law Mutual Aid 2,Law Tac
1299,513,D,LAW MA 03,Law Mutual Aid 3,Law Tac
4017,fb1,D,LAW MA 04,Law Mutual Aid 4,Law Tac
4019,fb3,D,LAW MA 05,Law Mutual Aid 5,Law Tac
4021,fb5,D,LAW MA 06,Law Mutual Aid 6,Law Tac
4055,fd7,D,LAW MA 07,Law Mutual Aid 7,Law Tac
4057,fd9,D,LAW MA 08,Law Mutual Aid 8,Law Tac
4059,fdb,D,LAW MA 09,Law Mutual Aid 9,Law Tac
4061,fdd,D,LAW MA 10,Law Mutual Aid 10,Law Tac
4063,fdf,D,LAW MA 11,Law Mutual Aid 11,Law Tac
4065,fe1,D,LAW MA 12,Law Mutual Aid 12,Law Tac
4067,fe3,D,LAW MA 13,Law Mutual Aid 13,Law Tac
4069,fe5,D,LAW MA 14,Law Mutual Aid 14,Law Tac
4071,fe7,D,LAW MA 15,Law Mutual Aid 15,Law Tac
4073,fe9,D,LAW MA 16,Law Mutual Aid 16,Law Tac
4075,feb,D,LAW MA 17,Law Mutual Aid 17,Law Tac
4077,fed,D,LAW MA 18,Law Mutual Aid 18,Law Tac
4079,fef,D,LAW MA 19,Law Mutual Aid 19,Law Tac
4081,ff1,D,LAW MA 20,Law Mutual Aid 20,Law Tac
4083,ff3,D,LAW MA 21,Law Mutual Aid 21,Law Tac
4085,ff5,D,LAW MA 22,Law Mutual Aid 22,Law Tac
4087,ff7,D,LAW MA 23,Law Mutual Aid 23,Law Tac
4089,ff9,D,LAW MA 24,Law Mutual Aid 24,Law Tac
1501,5dd,D,PSAP-1 THP D2,PSAP THP District 2 Counties [PSAP-1],Multi-Dispatch
1559,617,D,PSAP-2 THP D1,PSAP THP District 1 Counties [PSAP-2],Multi-Dispatch
47101,b7fd,D,PSAP-3 THP D5,PSAP THP District 5 Counties [PSAP-3],Multi-Dispatch
47102,b7fe,D,PSAP-4 THP D6,PSAP THP District 2 Counties [PSAP-4],Multi-Dispatch
47103,b7ff,D,PSAP-5 THP D3/7,PSAP THP Districts 3/7 Counties [PSAP-5],Multi-Dispatch
47106,b802,D,PSAP-7 THP D4/8,PSAP THP Districts 4/8 Counties [PSAP-7],Multi-Dispatch
4023,fb7,D,FF MA 01,Fire Mutual Aid 1,Fire-Tac
4025,fb9,D,FF MA 02,Fire Mutual Aid 2,Fire-Tac
4027,fbb,D,FF MA 03,Fire Mutual Aid 3,Fire-Tac
4029,fbd,D,FF MA 04,Fire Mutual Aid 4,Fire-Tac
4031,fbf,D,FF MA 05,Fire Mutual Aid 5,Fire-Tac
4033,fc1,D,FF MA 06,Fire Mutual Aid 6,Fire-Tac
3929,f59,D,FF MA 07,Fire Mutual Aid 7,Fire-Tac
3931,f5b,D,FF MA 08,Fire Mutual Aid 8,Fire-Tac
3933,f5d,D,FF MA 09,Fire Mutual Aid 9,Fire-Tac
3935,f5f,D,FF MA 10,Fire Mutual Aid 10,Fire-Tac
3937,f61,D,FF MA 11,Fire Mutual Aid 11,Fire-Tac
3939,f63,D,FF MA 12,Fire Mutual Aid 12,Fire-Tac
3941,f65,D,FF MA 13,Fire Mutual Aid 13,Fire-Tac
3943,f67,D,FF MA 14,Fire Mutual Aid 14,Fire-Tac
3945,f69,D,FF MA 15,Fire Mutual Aid 15,Fire-Tac
3947,f6b,D,FF MA 16,Fire Mutual Aid 16,Fire-Tac
3949,f6d,D,FF MA 17,Fire Mutual Aid 17,Fire-Tac
3951,f6f,D,FF MA 18,Fire Mutual Aid 18,Fire-Tac
3953,f71,D,FF MA 19,Fire Mutual Aid 19,Fire-Tac
3955,f73,D,FF MA 20,Fire Mutual Aid 20,Fire-Tac
3957,f75,D,FF MA 21,Fire Mutual Aid 21,Fire-Tac
3959,f77,D,FF MA 22,Fire Mutual Aid 22,Fire-Tac
3961,f79,D,FF MA 23,Fire Mutual Aid 23,Fire-Tac
